crop,feature1,feature2,value1,value2,predicted_yield
OATS,clay_mean,soc_mean,14.22,29.931,58.75
OATS,clay_mean,soc_mean,14.22,32.241,58.74
OATS,clay_mean,soc_mean,15.998,11.454,55.7
OATS,clay_mean,soc_mean,15.998,13.764,57.12
OATS,clay_mean,soc_mean,15.998,16.073,57.02
OATS,clay_mean,soc_mean,15.998,18.383,56.53
OATS,clay_mean,soc_mean,15.998,20.693,56.51
OATS,clay_mean,soc_mean,15.998,23.002,56.44
OATS,clay_mean,soc_mean,15.998,25.312,57.0
OATS,clay_mean,soc_mean,15.998,27.622,58.81
OATS,clay_mean,soc_mean,15.998,29.931,58.56
OATS,clay_mean,soc_mean,15.998,32.241,58.55
OATS,clay_mean,soc_mean,17.776,11.454,56.18
OATS,clay_mean,soc_mean,17.776,13.764,57.92
OATS,clay_mean,soc_mean,17.776,16.073,57.82
OATS,clay_mean,soc_mean,17.776,18.383,57.46
OATS,clay_mean,soc_mean,17.776,20.693,57.45
OATS,clay_mean,soc_mean,17.776,23.002,57.32
OATS,clay_mean,soc_mean,17.776,25.312,57.84
OATS,clay_mean,soc_mean,17.776,27.622,59.5
OATS,clay_mean,soc_mean,17.776,29.931,59.26
OATS,clay_mean,soc_mean,17.776,32.241,59.25
OATS,clay_mean,soc_mean,19.553,11.454,58.67
OATS,clay_mean,soc_mean,19.553,13.764,64.63
OATS,clay_mean,soc_mean,19.553,16.073,64.73
OATS,clay_mean,soc_mean,19.553,18.383,65.65
OATS,clay_mean,soc_mean,19.553,20.693,65.47
OATS,clay_mean,soc_mean,19.553,23.002,64.54
OATS,clay_mean,soc_mean,19.553,25.312,64.42
OATS,clay_mean,soc_mean,19.553,27.622,64.65
OATS,clay_mean,soc_mean,19.553,29.931,64.17
OATS,clay_mean,soc_mean,19.553,32.241,64.13
OATS,clay_mean,soc_mean,21.331,11.454,58.43
OATS,clay_mean,soc_mean,21.331,13.764,66.54
OATS,clay_mean,soc_mean,21.331,16.073,66.61
OATS,clay_mean,soc_mean,21.331,18.383,67.2
OATS,clay_mean,soc_mean,21.331,20.693,67.07
OATS,clay_mean,soc_mean,21.331,23.002,66.01
OATS,clay_mean,soc_mean,21.331,25.312,65.8
OATS,clay_mean,soc_mean,21.331,27.622,65.76
OATS,clay_mean,soc_mean,21.331,29.931,65.31
OATS,clay_mean,soc_mean,21.331,32.241,65.26
OATS,clay_mean,soc_mean,23.109,11.454,58.6
OATS,clay_mean,soc_mean,23.109,13.764,68.99
OATS,clay_mean,soc_mean,23.109,16.073,69.15
OATS,clay_mean,soc_mean,23.109,18.383,69.88
OATS,clay_mean,soc_mean,23.109,20.693,70.02
OATS,clay_mean,soc_mean,23.109,23.002,68.74
OATS,clay_mean,soc_mean,23.109,25.312,68.3
OATS,clay_mean,soc_mean,23.109,27.622,68.16
OATS,clay_mean,soc_mean,23.109,29.931,67.63
OATS,clay_mean,soc_mean,23.109,32.241,67.6
OATS,clay_mean,soc_mean,24.887,11.454,58.73
OATS,clay_mean,soc_mean,24.887,13.764,70.78
OATS,clay_mean,soc_mean,24.887,16.073,70.98
OATS,clay_mean,soc_mean,24.887,18.383,71.42
OATS,clay_mean,soc_mean,24.887,20.693,71.65
OATS,clay_mean,soc_mean,24.887,23.002,70.22
OATS,clay_mean,soc_mean,24.887,25.312,69.59
OATS,clay_mean,soc_mean,24.887,27.622,69.37
OATS,clay_mean,soc_mean,24.887,29.931,68.72
OATS,clay_mean,soc_mean,24.887,32.241,68.66
OATS,clay_mean,soc_mean,26.665,11.454,59.61
OATS,clay_mean,soc_mean,26.665,13.764,73.08
OATS,clay_mean,soc_mean,26.665,16.073,73.5
OATS,clay_mean,soc_mean,26.665,18.383,73.93
OATS,clay_mean,soc_mean,26.665,20.693,74.26
OATS,clay_mean,soc_mean,26.665,23.002,73.14
OATS,clay_mean,soc_mean,26.665,25.312,72.33
OATS,clay_mean,soc_mean,26.665,27.622,71.93
OATS,clay_mean,soc_mean,26.665,29.931,71.18
OATS,clay_mean,soc_mean,26.665,32.241,71.07
OATS,clay_mean,soc_mean,28.443,11.454,59.46
OATS,clay_mean,soc_mean,28.443,13.764,72.17
OATS,clay_mean,soc_mean,28.443,16.073,72.65
OATS,clay_mean,soc_mean,28.443,18.383,73.1
OATS,clay_mean,soc_mean,28.443,20.693,73.42
OATS,clay_mean,soc_mean,28.443,23.002,72.73
OATS,clay_mean,soc_mean,28.443,25.312,71.97
OATS,clay_mean,soc_mean,28.443,27.622,71.6
