county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
48495,Winkler,TX,20.80689045636101,25.629392368488148,53.56372567349367,7.743640690065438,9.747730092631937,1.4676894705532422
48295,Lipscomb,TX,24.688230258934304,36.34602427318028,38.96569502613799,7.261971508055394,15.869860291645011,1.481210907645746
48087,Collingsworth,TX,24.672747330197495,36.090701273231495,39.2362342378231,7.333994208405473,16.4545313864587,1.5021571391361639
48419,Shelby,TX,10.814822259361309,36.544746826866614,52.64007633587786,5.3059126428474634,32.40544062514115,1.3747149826098741
48067,Cass,TX,18.060616897630755,34.76625459922286,47.17349472163956,5.311385440665727,34.83329837350848,1.3172939376225026
48139,Ellis,TX,37.30861205593349,41.85512802343159,20.836340230536656,6.770290060468632,28.855947656840517,1.5445320767195767
48053,Burnet,TX,29.30316546066165,40.60265966457733,30.09431039907069,7.258214951235449,36.660354299266714,1.5322109823092374
48093,Comanche,TX,28.126455596656278,36.27491334867329,35.59859901552442,7.117213759356886,30.91649724754609,1.5609218536102292
48097,Cooke,TX,29.84166168805752,41.35361859046991,28.805203848293196,6.664046888197606,33.41888094600441,1.5359215920562
48179,Gray,TX,29.729162708855636,39.07022065120914,31.200580824989487,7.207788972111058,17.851595322256653,1.4983321135489496
48229,Hudspeth,TX,19.59511912741454,27.14227855300307,53.26225702272866,8.032831637316434,8.748587329636626,1.4324434830296753
48491,Williamson,TX,36.515363939361364,45.804851628857115,17.67963391033222,7.241261692291151,30.954711858939895,1.577535480055908
48129,Donley,TX,27.603494573930202,36.076707978789,36.31975890985325,7.286949685534592,19.05107442348008,1.4894304168208163
48349,Navarro,TX,33.1260771412053,36.21124631776009,30.66258293643146,6.371681854472373,30.315334636456242,1.5144148335765217
48079,Cochran,TX,17.037630183677333,16.22391750299817,66.73868427696775,7.396517389383324,14.152905068484504,1.461003124408256
48467,Van Zandt,TX,18.52083661503457,30.568589743589747,50.91027610046381,5.755764855167586,32.46820906624661,1.4823921414194452
48235,Irion,TX,32.58344676145832,45.353842799520336,22.062716668483596,7.731974272320942,25.241675102396787,1.497530173957733
48253,Jones,TX,32.302166489128396,40.65534024688264,27.04209536938405,7.470209599598972,19.748126449025627,1.5272437182780876
48185,Grimes,TX,19.235689251205393,30.625410994713707,50.138349824758436,5.733754816722499,34.905425711132196,1.4901181186220784
